taxonID,description,type,language
alien-flora-congo-checklist:taxon:010c27436e3dea0403bd28db08b44bb9,America,native range,en
alien-flora-congo-checklist:taxon:010c27436e3dea0403bd28db08b44bb9,Climber,life form,en
alien-flora-congo-checklist:taxon:0171f3af60ee86a8b5bc59205a54bdbb,Africa,native range,en
alien-flora-congo-checklist:taxon:0171f3af60ee86a8b5bc59205a54bdbb,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:0223d7c9b68681674df667aaa86170a3,America,native range,en
alien-flora-congo-checklist:taxon:0223d7c9b68681674df667aaa86170a3,Shrub,life form,en
alien-flora-congo-checklist:taxon:027344bba93f018fea22698c3950c9cc,America,native range,en
alien-flora-congo-checklist:taxon:027344bba93f018fea22698c3950c9cc,Annual herb,life form,en
alien-flora-congo-checklist:taxon:029078c7e27696d0c8a263ba53bda087,Africa,native range,en
alien-flora-congo-checklist:taxon:029078c7e27696d0c8a263ba53bda087,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:038a62278d787ff080f66c433313835d,America,native range,en
alien-flora-congo-checklist:taxon:038a62278d787ff080f66c433313835d,Shrub,life form,en
alien-flora-congo-checklist:taxon:03a4ea24d3aa2e238d06ada8d3a5e01a,America,native range,en
alien-flora-congo-checklist:taxon:03a4ea24d3aa2e238d06ada8d3a5e01a,Annual herb,life form,en
alien-flora-congo-checklist:taxon:03d1c2d437fcf3b85a4b2bfe7d5354a9,Africa,native range,en
alien-flora-congo-checklist:taxon:03d1c2d437fcf3b85a4b2bfe7d5354a9,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:05f6ed358b364acab55b2e34537c367d,America,native range,en
alien-flora-congo-checklist:taxon:05f6ed358b364acab55b2e34537c367d,Annual herb,life form,en
alien-flora-congo-checklist:taxon:06910e8082ade1e05f159bd0d3a8957f,America,native range,en
alien-flora-congo-checklist:taxon:06910e8082ade1e05f159bd0d3a8957f,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:07c0ac89b847d6c99e6bd25d42a1bb20,Asia,native range,en
alien-flora-congo-checklist:taxon:07c0ac89b847d6c99e6bd25d42a1bb20,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:085e2d90f23b702f94968cb279a18f50,America,native range,en
alien-flora-congo-checklist:taxon:085e2d90f23b702f94968cb279a18f50,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:0886e333d9d2f4b0adf19a3c273faac8,Asia,native range,en
alien-flora-congo-checklist:taxon:0886e333d9d2f4b0adf19a3c273faac8,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:08ed3481f0d6f0e2b60da9a5b4711dc9,Asia,native range,en
alien-flora-congo-checklist:taxon:08ed3481f0d6f0e2b60da9a5b4711dc9,Tree,life form,en
alien-flora-congo-checklist:taxon:0a1592aee31d50db7294c0e1d70b4c61,Asia,native range,en
alien-flora-congo-checklist:taxon:0a1592aee31d50db7294c0e1d70b4c61,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:0a7a1bb4750085c5505621c1c6137827,America,native range,en
alien-flora-congo-checklist:taxon:0a7a1bb4750085c5505621c1c6137827,Tree,life form,en
alien-flora-congo-checklist:taxon:0aa48e873d655207d79e51067c52fe8c,America,native range,en
